stem,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,key,V_chord_root
HC3,62,69,66,64,57,61,61.75,NA,NA,NA,D,
HC25,67,65,64,62,60,59,60.25,NA,NA,NA,C,
LC3,62,69,66,64,59,62,62.16,NA,NA,NA,D,
LC25,69,67,65,64,62,60,63.04,NA,NA,NA,C,
HC5,64,59,68,69,66,63,59,66.6,NA,NA,E,
HC10,67,70,63,68,67,65,62,63.58,NA,NA,E_flat,
HC20,68,61,68,63,68,60,68,61.42,NA,NA,D_flat,
HC34,58,65,63,62,60,57,60,63.2,NA,NA,B_flat,
LC5,64,59,68,69,66,64,61,61.11,NA,NA,E,
LC10,67,70,63,68,67,65,63,64.12,NA,NA,E_flat,
LC20,66,61,66,63,66,58,66,60.76,NA,NA,D_flat,
LC34,58,67,65,63,62,58,62,58.63,NA,NA,B_flat,
HC2,62,59,55,62,64,60,66,62,67.27,NA,G,
HC6,59,61,54,63,56,64,58,66,59.58,NA,B,
HC8,68,66,65,63,61,60,56,68,65.53,NA,E_flat,
HC17,59,64,63,61,59,57,59,66,65.13,NA,E,
HC18,71,70,68,66,64,63,61,66,62.93,NA,B,
HC19,54,66,61,58,59,68,65,61,62.33,NA,F_sharp,
HC22,63,58,55,58,56,58,65,62,62.92,NA,E_flat,
HC28,71,68,68,66,64,61,63,66,69.07,NA,E,
HC31,60,61,56,65,66,63,60,63,67,NA,D_flat,
HC32,56,58,60,61,63,65,63,66,62.33,NA,A_flat,
HC36,72,67,64,67,60,62,55,59,64.42,NA,C,
HC37,71,69,67,72,71,69,62,66,61.67,NA,G,
HC39,76,80,78,73,74,71,64,68,63.5,NA,F,
HC45,75,67,72,63,60,68,62,70,67.67,NA,E_flat,
LC2,64,60,57,64,66,62,67,64,64.59,NA,G,
LC6,59,61,54,63,56,64,58,68,65.64,NA,B,
LC8,68,66,65,63,61,60,58,70,67.81,NA,E_flat,
LC17,59,66,64,63,61,59,61,68,65.67,NA,E,
LC18,71,70,68,66,64,63,59,64,64.28,NA,B,
LC19,54,66,61,58,59,66,63,59,59.96,NA,F_sharp,
LC22,63,58,55,58,56,60,63,60,62,NA,E_flat,
LC28,71,68,68,66,64,61,64,68,65.48,NA,E,
LC31,60,61,56,65,66,63,58,61,65.96,NA,D_flat,
LC32,56,58,60,61,63,65,61,65,60.74,NA,A_flat,
LC36,72,67,64,67,60,64,57,60,65.56,NA,C,
LC37,71,69,67,72,71,69,60,64,60.41,NA,G,
LC39,76,80,78,73,74,69,66,69,63.68,NA,F,
LC45,75,67,72,63,62,70,60,68,65.28,NA,E_flat,
HC7,78,73,70,73,70,66,70,61,65,66,F_sharp,
HC9,56,51,60,56,63,60,72,63,70,65.27,A_flat,
HC11,58,53,62,63,55,58,65,57,60,62.93,B_flat,
HC12,60,57,65,62,58,67,64,60,72,69.07,F,
HC13,60,64,62,64,67,65,64,62,59,60.42,C,
HC14,62,67,69,71,72,71,69,66,62,65.92,G,
HC15,62,66,69,74,71,67,66,64,61,62.67,D,
HC16,57,64,61,62,69,66,64,71,68,67,A,
HC21,64,60,56,65,61,56,67,63,67,67.4,A_flat,
HC23,58,53,65,63,51,67,65,56,60,60.8,B_flat,
HC24,65,60,67,60,70,69,67,64,60,64.33,F,
HC26,62,66,64,67,66,64,62,61,64,67.87,D,
HC27,76,69,71,73,69,66,66,64,68,59.73,A,
HC29,54,59,58,59,61,63,64,66,58,66.2,B,
HC30,70,71,73,75,73,71,70,68,65,59.25,F_sharp,
HC33,63,58,55,56,58,58,62,65,58,66.92,E_flat,
HC35,65,65,64,64,62,64,67,67,64,58.33,F,
HC38,50,57,66,67,55,59,61,57,64,66.13,D,
HC40,71,64,68,69,61,64,63,59,66,68.87,E,
HC41,66,64,63,61,61,59,57,61,57,65.33,B,
HC42,70,66,61,71,66,63,68,61,65,60.08,F_sharp,
HC43,68,61,65,68,70,66,63,60,63,66.87,D_flat,
HC44,68,72,70,73,72,70,63,70,67,64,A_flat,
HC46,62,58,62,63,60,63,65,60,57,66.33,B_flat,
HC47,65,60,67,69,65,70,72,60,64,58,F,
LC7,78,73,70,73,70,66,70,61,66,65.93,F_sharp,
LC9,56,51,60,56,63,60,72,63,68,65.56,A_flat,
LC11,58,53,62,65,58,62,67,60,63,66.37,B_flat,
LC12,60,57,65,62,60,67,65,62,70,67.63,F,
LC13,60,64,62,62,65,64,62,60,57,58.08,C,
LC14,64,69,71,72,74,72,71,67,64,67.4,G,
LC15,62,66,69,74,71,67,66,62,59,61.07,D,
LC16,59,66,62,62,69,66,66,73,69,67.2,A,
LC21,65,60,56,67,63,58,68,61,65,64.89,A_flat,
LC23,58,53,65,63,51,67,67,58,63,61.26,B_flat,
LC24,65,60,67,60,70,69,67,65,62,62.96,F,
LC26,64,67,66,69,67,66,64,62,66,62.07,D,
LC27,76,69,71,73,69,66,66,62,66,63.67,A,
LC29,54,59,58,59,59,61,63,64,56,67.56,B,
LC30,68,70,71,73,71,70,68,66,63,62.52,F_sharp,
LC33,63,58,55,55,56,56,60,63,56,64.04,E_flat,
LC35,65,65,64,64,62,64,67,67,62,61.84,F,
LC38,50,57,66,67,55,59,62,59,67,64.11,D,
