stem,step1,step2,step3,step4,step5,step6,step7,key,V_chord_root
HC3,62,69,66,64,57,61,61.75,D,69
HC25,67,65,64,62,60,59,60.25,C,67
LC3,62,69,66,64,59,62,62.16,D,69
LC25,69,67,65,64,62,60,63.04,C,67
HC5,64,59,68,69,66,63,59,E,71
HC10,70,63,68,67,65,62,63.58,E_flat,70
HC20,61,68,63,68,60,68,61.42,D_flat,70
HC34,65,63,62,60,57,60,63.2,B_flat,65
LC5,59,68,69,66,64,61,61.11,E,71
LC10,70,63,68,67,65,63,64.12,E_flat,70
LC20,61,66,63,66,58,66,60.76,D_flat,70
LC34,67,65,63,62,58,62,58.63,B_flat,65
HC2,55,62,64,60,66,62,67.27,G,62
HC6,54,63,56,64,58,66,59.58,B,66
HC8,65,63,61,60,56,68,65.53,E_flat,70
HC17,63,61,59,57,59,66,65.13,E,71
HC18,68,66,64,63,61,66,62.93,B,66
HC19,61,58,59,68,65,61,62.33,F_sharp,63
HC22,55,58,56,58,65,62,62.92,E_flat,70
HC28,68,66,64,61,63,66,69.07,E,71
HC31,56,65,66,63,60,63,67,D_flat,70
HC32,60,61,63,65,63,66,62.33,A_flat,63
HC36,64,67,60,62,55,59,64.42,C,67
HC37,67,72,71,69,62,66,61.67,G,62
HC39,78,73,74,71,64,68,63.5,F,72
HC45,72,63,60,68,62,70,67.67,E_flat,70
LC2,57,64,66,62,67,64,64.59,G,62
LC6,54,63,56,64,58,68,65.64,B,66
LC8,65,63,61,60,58,70,67.81,E_flat,70
LC17,64,63,61,59,61,68,65.67,E,71
LC18,68,66,64,63,59,64,64.28,B,66
LC19,61,58,59,66,63,59,59.96,F_sharp,63
LC22,55,58,56,60,63,60,62,E_flat,70
LC28,68,66,64,61,64,68,65.48,E,71
LC31,56,65,66,63,58,61,65.96,D_flat,70
LC32,60,61,63,65,61,65,60.74,A_flat,63
LC36,64,67,60,64,57,60,65.56,C,67
LC37,67,72,71,69,60,64,60.41,G,62
LC39,78,73,74,69,66,69,63.68,F,72
LC45,72,63,62,70,60,68,65.28,E_flat,70
HC7,73,70,66,70,61,65,66,F_sharp,63
HC9,56,63,60,72,63,70,65.27,A_flat,63
HC11,63,55,58,65,57,60,62.93,B_flat,65
HC12,62,58,67,64,60,72,69.07,F,72
HC13,64,67,65,64,62,59,60.42,C,67
HC14,71,72,71,69,66,62,65.92,G,62
HC15,74,71,67,66,64,61,62.67,D,69
HC16,62,69,66,64,71,68,67,A,64
HC21,65,61,56,67,63,67,67.4,A_flat,63
HC23,63,51,67,65,56,60,60.8,B_flat,65
HC24,60,70,69,67,64,60,64.33,F,72
HC26,67,66,64,62,61,64,67.87,D,69
HC27,73,69,66,66,64,68,59.73,A,64
HC29,59,61,63,64,66,58,66.2,B,66
HC30,75,73,71,70,68,65,59.25,F_sharp,63
HC33,56,58,58,62,65,58,66.92,E_flat,70
HC35,64,62,64,67,67,64,58.33,F,72
HC38,67,55,59,61,57,64,66.13,D,69
HC40,69,61,64,63,59,66,68.87,E,71
HC41,61,61,59,57,61,57,65.33,B,66
HC42,71,66,63,68,61,65,60.08,F_sharp,63
HC43,68,70,66,63,60,63,66.87,D_flat,70
HC44,73,72,70,63,70,67,64,A_flat,63
HC46,63,60,63,65,60,57,66.33,B_flat,65
HC47,69,65,70,72,60,64,58,F,72
LC7,73,70,66,70,61,66,65.93,F_sharp,63
LC9,56,63,60,72,63,68,65.56,A_flat,63
LC11,65,58,62,67,60,63,66.37,B_flat,65
LC12,62,60,67,65,62,70,67.63,F,72
LC13,62,65,64,62,60,57,58.08,C,67
LC14,72,74,72,71,67,64,67.4,G,62
LC15,74,71,67,66,62,59,61.07,D,69
LC16,62,69,66,66,73,69,67.2,A,64
LC21,67,63,58,68,61,65,64.89,A_flat,63
LC23,63,51,67,67,58,63,61.26,B_flat,65
LC24,60,70,69,67,65,62,62.96,F,72
LC26,69,67,66,64,62,66,62.07,D,69
LC27,73,69,66,66,62,66,63.67,A,64
LC29,59,59,61,63,64,56,67.56,B,66
LC30,73,71,70,68,66,63,62.52,F_sharp,63
LC33,55,56,56,60,63,56,64.04,E_flat,70
LC35,64,62,64,67,67,62,61.84,F,72
LC38,67,55,59,62,59,67,64.11,D,69
LC40,71,63,66,64,61,68,66.44,E,71
LC41,61,63,61,59,66,63,66,B,66
LC42,73,70,66,71,63,66,63.48,F_sharp,63
LC43,68,70,66,61,58,65,66.56,D_flat,70
LC44,73,72,70,61,68,65,63.32,A_flat,63
LC46,63,60,63,67,63,60,62.96,B_flat,65
LC47,69,65,69,70,58,62,60.92,F,72
